prompt,name_pair,location,prolog,referring_expression,target_object,referent_natural
"Casey and Skyler are in the banquet hall. Casey is tidying. Skyler is next to a dirty rag on the floor, a spatula on the table, a split mug on the floor, a broom on the table, a book on the table. Casey says to Skyler, 'pick it up'.",Casey and Skyler,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, dirty).
property(obj1, rag).
location(obj1, floor).
object(obj2).
property(obj2, spatulon).
location(obj2, table).
object(obj3).
property(obj3, split).
property(obj3, mug).
location(obj3, floor).
object(obj4).
property(obj4, broom).
location(obj4, table).
object(obj5).
property(obj5, book).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object3,broken mug
"Alex and Bailey are in the dining room. Alex is tidying. Bailey is next to a spatula on the table, a banana peel on the floor, a plant on the table, a boot on the floor, a dirty fork on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,dining room,"setting(dining_room).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, spatulon).
location(obj1, table).
object(obj2).
property(obj2, banana_peel).
location(obj2, floor).
object(obj3).
property(obj3, plant).
location(obj3, table).
object(obj4).
property(obj4, boot).
location(obj4, floor).
object(obj5).
property(obj5, dirty).
property(obj5, fork).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object2,banana peel
"Jordan and Taylor are in the dining room. Jordan is tidying. Taylor is next to a lamp on the table, a dirty bowl on the floor, a pen on the table, a book on the table, a laptop on the floor. Jordan says to Taylor, 'pick it up'.",Jordan and Taylor,dining room,"setting(dining_room).
task(tidying).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, lamp).
location(obj1, table).
object(obj2).
property(obj2, dirty).
property(obj2, bowl).
location(obj2, floor).
object(obj3).
property(obj3, pen).
location(obj3, table).
object(obj4).
property(obj4, book).
location(obj4, table).
object(obj5).
property(obj5, laptop).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,laptop
"Casey and Skyler are in the garden. Casey is tidying. Skyler is next to a plant on the table, a laptop on the floor, a notebook on the table, a pen on the table, a dirty plate on the floor. Casey says to Skyler, 'pick it up'.",Casey and Skyler,garden,"setting(garden).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, plant).
location(obj1, table).
object(obj2).
property(obj2, laptop).
location(obj2, floor).
object(obj3).
property(obj3, notebook).
location(obj3, table).
object(obj4).
property(obj4, pen).
location(obj4, table).
object(obj5).
property(obj5, dirty).
property(obj5, plate).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object2,laptop
"Morgan and Riley are in the dining room. Morgan is tidying. Riley is next to a pen on the table, a boot on the floor, a shard of glass on the floor, a dirty fork on the floor, a book on the table. Morgan says to Riley, 'pick it up'.",Morgan and Riley,dining room,"setting(dining_room).
task(tidying).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, pen).
location(obj1, table).
object(obj2).
property(obj2, boot).
location(obj2, floor).
object(obj3).
property(obj3, shard_of_glass).
location(obj3, floor).
object(obj4).
property(obj4, dirty).
property(obj4, fork).
location(obj4, floor).
object(obj5).
property(obj5, book).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object3,shard of glass
"Jordan and Taylor are in the banquet hall. Jordan is tidying. Taylor is next to a dirty plate on the floor, a spatula on the table, a broken plate on the floor, a rug on the floor, a book on the table. Jordan says to Taylor, 'pick it up'.",Jordan and Taylor,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dirty).
property(obj1, plate).
location(obj1, floor).
object(obj2).
property(obj2, spatulon).
location(obj2, table).
object(obj3).
property(obj3, broken).
property(obj3, plate).
location(obj3, floor).
object(obj4).
property(obj4, rug).
location(obj4, floor).
object(obj5).
property(obj5, book).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object3,broken plate
"Jordan and Taylor are in the banquet hall. Jordan is tidying. Taylor is next to a dirty plate on the floor, a boot on the floor, a broom on the table, a broken plate on the floor, a pen on the table. Jordan says to Taylor, 'pick it up'.",Jordan and Taylor,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dirty).
property(obj1, plate).
location(obj1, floor).
object(obj2).
property(obj2, boot).
location(obj2, floor).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, broken).
property(obj4, plate).
location(obj4, floor).
object(obj5).
property(obj5, pen).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object4,broken plate
"Cameron and Charlie are in the living room. Cameron is tidying. Charlie is next to a broken plate on the floor, a lamp on the table, a rug on the floor, a pen on the table, a dirty cup on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,living room,"setting(living_room).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, broken).
property(obj1, plate).
location(obj1, floor).
object(obj2).
property(obj2, lamp).
location(obj2, table).
object(obj3).
property(obj3, rug).
location(obj3, floor).
object(obj4).
property(obj4, pen).
location(obj4, table).
object(obj5).
property(obj5, dirty).
property(obj5, cup).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object1,broken plate
"Cameron and Charlie are in the dining room. Cameron is tidying. Charlie is next to a dirty fork on the floor, a plant on the table, a book on the table, a laptop on the floor, a shoe on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,dining room,"setting(dining_room).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, dirty).
property(obj1, fork).
location(obj1, floor).
object(obj2).
property(obj2, plant).
location(obj2, table).
object(obj3).
property(obj3, book).
location(obj3, table).
object(obj4).
property(obj4, laptop).
location(obj4, floor).
object(obj5).
property(obj5, shoe).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object4,laptop
"Cameron and Charlie are in the dining room. Cameron is tidying. Charlie is next to a pen on the table, a notebook on the table, a broken plate on the floor, a shoe on the floor, a dirty rag on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,dining room,"setting(dining_room).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, pen).
location(obj1, table).
object(obj2).
property(obj2, notebook).
location(obj2, table).
object(obj3).
property(obj3, broken).
property(obj3, plate).
location(obj3, floor).
object(obj4).
property(obj4, shoe).
location(obj4, floor).
object(obj5).
property(obj5, dirty).
property(obj5, rag).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object3,broken plate
"Casey and Skyler are in the garden. Casey is tidying. Skyler is next to a dirty rag on the floor, a notebook on the table, a banana peel on the floor, a lamp on the table, a rug on the floor. Casey says to Skyler, 'pick it up'.",Casey and Skyler,garden,"setting(garden).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, dirty).
property(obj1, rag).
location(obj1, floor).
object(obj2).
property(obj2, notebook).
location(obj2, table).
object(obj3).
property(obj3, banana_peel).
location(obj3, floor).
object(obj4).
property(obj4, lamp).
location(obj4, table).
object(obj5).
property(obj5, rug).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object3,banana peel
"Jordan and Taylor are in the garden. Jordan is tidying. Taylor is next to a spatula on the table, a dirty bowl on the floor, a knife on the floor, a rug on the floor, a book on the table. Jordan says to Taylor, 'pick it up'.",Jordan and Taylor,garden,"setting(garden).
task(tidying).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, spatulon).
location(obj1, table).
object(obj2).
property(obj2, dirty).
property(obj2, bowl).
location(obj2, floor).
object(obj3).
property(obj3, knife).
location(obj3, floor).
object(obj4).
property(obj4, rug).
location(obj4, floor).
object(obj5).
property(obj5, book).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object3,knife
"Alex and Bailey are in the banquet hall. Alex is tidying. Bailey is next to a dirty bowl on the floor, a boot on the floor, a broom on the table, a split mug on the floor, a lamp on the table. Alex says to Bailey, 'pick it up'.",Alex and Bailey,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, dirty).
property(obj1, bowl).
location(obj1, floor).
object(obj2).
property(obj2, boot).
location(obj2, floor).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, split).
property(obj4, mug).
location(obj4, floor).
object(obj5).
property(obj5, lamp).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object4,broken mug
"Morgan and Riley are in the kitchen. Morgan is tidying. Riley is next to a boot on the floor, a book on the table, a broken plate on the floor, a notebook on the table, a dirty plate on the floor. Morgan says to Riley, 'pick it up'.",Morgan and Riley,kitchen,"setting(kitchen).
task(tidying).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, boot).
location(obj1, floor).
object(obj2).
property(obj2, book).
location(obj2, table).
object(obj3).
property(obj3, broken).
property(obj3, plate).
location(obj3, floor).
object(obj4).
property(obj4, notebook).
location(obj4, table).
object(obj5).
property(obj5, dirty).
property(obj5, plate).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object3,broken plate
"Casey and Skyler are in the kitchen. Casey is tidying. Skyler is next to a dirty cup on the floor, a plant on the table, a boot on the floor, a split mug on the floor, a notebook on the table. Casey says to Skyler, 'pick it up'.",Casey and Skyler,kitchen,"setting(kitchen).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, dirty).
property(obj1, cup).
location(obj1, floor).
object(obj2).
property(obj2, plant).
location(obj2, table).
object(obj3).
property(obj3, boot).
location(obj3, floor).
object(obj4).
property(obj4, split).
property(obj4, mug).
location(obj4, floor).
object(obj5).
property(obj5, notebook).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object4,broken mug
"Alex and Bailey are in the living room. Alex is tidying. Bailey is next to a spatula on the table, a notebook on the table, a split mug on the floor, a dirty plate on the floor, a shoe on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,living room,"setting(living_room).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, spatulon).
location(obj1, table).
object(obj2).
property(obj2, notebook).
location(obj2, table).
object(obj3).
property(obj3, split).
property(obj3, mug).
location(obj3, floor).
object(obj4).
property(obj4, dirty).
property(obj4, plate).
location(obj4, floor).
object(obj5).
property(obj5, shoe).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object3,broken mug
"Alex and Bailey are in the banquet hall. Alex is tidying. Bailey is next to a spatula on the table, a pen on the table, a broom on the table, a split mug on the floor, a dirty rag on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, spatulon).
location(obj1, table).
object(obj2).
property(obj2, pen).
location(obj2, table).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, split).
property(obj4, mug).
location(obj4, floor).
object(obj5).
property(obj5, dirty).
property(obj5, rag).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object4,broken mug
"Jordan and Taylor are in the restaurant. Jordan is tidying. Taylor is next to a split mug on the floor, a plant on the table, a book on the table, a pen on the table, a dirty bowl on the floor. Jordan says to Taylor, 'pick it up'.",Jordan and Taylor,restaurant,"setting(restaurant).
task(tidying).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, split).
property(obj1, mug).
location(obj1, floor).
object(obj2).
property(obj2, plant).
location(obj2, table).
object(obj3).
property(obj3, book).
location(obj3, table).
object(obj4).
property(obj4, pen).
location(obj4, table).
object(obj5).
property(obj5, dirty).
property(obj5, bowl).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object1,broken mug
"Alex and Bailey are in the banquet hall. Alex is tidying. Bailey is next to a plant on the table, a wet rag on the floor, a dirty bowl on the floor, a notebook on the table, a rug on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, plant).
location(obj1, table).
object(obj2).
property(obj2, wet_rag).
location(obj2, floor).
object(obj3).
property(obj3, dirty).
property(obj3, bowl).
location(obj3, floor).
object(obj4).
property(obj4, notebook).
location(obj4, table).
object(obj5).
property(obj5, rug).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object2,wet rag
"Casey and Skyler are in the garden. Casey is tidying. Skyler is next to a dirty bowl on the floor, a laptop on the floor, a lamp on the table, a rug on the floor, a shoe on the floor. Casey says to Skyler, 'pick it up'.",Casey and Skyler,garden,"setting(garden).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, dirty).
property(obj1, bowl).
location(obj1, floor).
object(obj2).
property(obj2, laptop).
location(obj2, floor).
object(obj3).
property(obj3, lamp).
location(obj3, table).
object(obj4).
property(obj4, rug).
location(obj4, floor).
object(obj5).
property(obj5, shoe).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object2,laptop
"Alex and Bailey are in the banquet hall. Alex is tidying. Bailey is next to a notebook on the table, a plant on the table, a knife on the floor, a dirty plate on the floor, a rug on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, notebook).
location(obj1, table).
object(obj2).
property(obj2, plant).
location(obj2, table).
object(obj3).
property(obj3, knife).
location(obj3, floor).
object(obj4).
property(obj4, dirty).
property(obj4, plate).
location(obj4, floor).
object(obj5).
property(obj5, rug).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object3,knife
"Alex and Bailey are in the garden. Alex is tidying. Bailey is next to a dirty plate on the floor, a knife on the floor, a book on the table, a broom on the table, a notebook on the table. Alex says to Bailey, 'pick it up'.",Alex and Bailey,garden,"setting(garden).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, dirty).
property(obj1, plate).
location(obj1, floor).
object(obj2).
property(obj2, knife).
location(obj2, floor).
object(obj3).
property(obj3, book).
location(obj3, table).
object(obj4).
property(obj4, broom).
location(obj4, table).
object(obj5).
property(obj5, notebook).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object2,knife
"Alex and Bailey are in the banquet hall. Alex is tidying. Bailey is next to a dirty fork on the floor, a lamp on the table, a boot on the floor, a pen on the table, a split mug on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, dirty).
property(obj1, fork).
location(obj1, floor).
object(obj2).
property(obj2, lamp).
location(obj2, table).
object(obj3).
property(obj3, boot).
location(obj3, floor).
object(obj4).
property(obj4, pen).
location(obj4, table).
object(obj5).
property(obj5, split).
property(obj5, mug).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,broken mug
"Casey and Skyler are in the restaurant. Casey is tidying. Skyler is next to a wet rag on the floor, a dirty fork on the floor, a rug on the floor, a notebook on the table, a broom on the table. Casey says to Skyler, 'pick it up'.",Casey and Skyler,restaurant,"setting(restaurant).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, wet_rag).
location(obj1, floor).
object(obj2).
property(obj2, dirty).
property(obj2, fork).
location(obj2, floor).
object(obj3).
property(obj3, rug).
location(obj3, floor).
object(obj4).
property(obj4, notebook).
location(obj4, table).
object(obj5).
property(obj5, broom).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object1,wet rag
"Casey and Skyler are in the kitchen. Casey is tidying. Skyler is next to a notebook on the table, a boot on the floor, a dirty bowl on the floor, a broom on the table, a broken plate on the floor. Casey says to Skyler, 'pick it up'.",Casey and Skyler,kitchen,"setting(kitchen).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, notebook).
location(obj1, table).
object(obj2).
property(obj2, boot).
location(obj2, floor).
object(obj3).
property(obj3, dirty).
property(obj3, bowl).
location(obj3, floor).
object(obj4).
property(obj4, broom).
location(obj4, table).
object(obj5).
property(obj5, broken).
property(obj5, plate).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,broken plate
"Casey and Skyler are in the banquet hall. Casey is tidying. Skyler is next to a spatula on the table, a plant on the table, a split mug on the floor, a dirty fork on the floor, a lamp on the table. Casey says to Skyler, 'pick it up'.",Casey and Skyler,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, spatulon).
location(obj1, table).
object(obj2).
property(obj2, plant).
location(obj2, table).
object(obj3).
property(obj3, split).
property(obj3, mug).
location(obj3, floor).
object(obj4).
property(obj4, dirty).
property(obj4, fork).
location(obj4, floor).
object(obj5).
property(obj5, lamp).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object3,broken mug
"Cameron and Charlie are in the living room. Cameron is tidying. Charlie is next to a pen on the table, a notebook on the table, a dirty plate on the floor, a shoe on the floor, a shard of glass on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,living room,"setting(living_room).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, pen).
location(obj1, table).
object(obj2).
property(obj2, notebook).
location(obj2, table).
object(obj3).
property(obj3, dirty).
property(obj3, plate).
location(obj3, floor).
object(obj4).
property(obj4, shoe).
location(obj4, floor).
object(obj5).
property(obj5, shard_of_glass).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,shard of glass
"Alex and Bailey are in the living room. Alex is tidying. Bailey is next to a dirty plate on the floor, a pen on the table, a broken plate on the floor, a lamp on the table, a broom on the table. Alex says to Bailey, 'pick it up'.",Alex and Bailey,living room,"setting(living_room).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, dirty).
property(obj1, plate).
location(obj1, floor).
object(obj2).
property(obj2, pen).
location(obj2, table).
object(obj3).
property(obj3, broken).
property(obj3, plate).
location(obj3, floor).
object(obj4).
property(obj4, lamp).
location(obj4, table).
object(obj5).
property(obj5, broom).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object3,broken plate
"Cameron and Charlie are in the garden. Cameron is tidying. Charlie is next to a shoe on the floor, a broom on the table, a plant on the table, a dirty bowl on the floor, a banana peel on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,garden,"setting(garden).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, shoe).
location(obj1, floor).
object(obj2).
property(obj2, broom).
location(obj2, table).
object(obj3).
property(obj3, plant).
location(obj3, table).
object(obj4).
property(obj4, dirty).
property(obj4, bowl).
location(obj4, floor).
object(obj5).
property(obj5, banana_peel).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,banana peel
"Cameron and Charlie are in the banquet hall. Cameron is tidying. Charlie is next to a notebook on the table, a dirty rag on the floor, a broom on the table, a spatula on the table, a banana peel on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, notebook).
location(obj1, table).
object(obj2).
property(obj2, dirty).
property(obj2, rag).
location(obj2, floor).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, spatulon).
location(obj4, table).
object(obj5).
property(obj5, banana_peel).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,banana peel
"Morgan and Riley are in the kitchen. Morgan is tidying. Riley is next to a notebook on the table, a dirty plate on the floor, a broom on the table, a broken plate on the floor, a plant on the table. Morgan says to Riley, 'pick it up'.",Morgan and Riley,kitchen,"setting(kitchen).
task(tidying).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, notebook).
location(obj1, table).
object(obj2).
property(obj2, dirty).
property(obj2, plate).
location(obj2, floor).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, broken).
property(obj4, plate).
location(obj4, floor).
object(obj5).
property(obj5, plant).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object4,broken plate
"Casey and Skyler are in the banquet hall. Casey is tidying. Skyler is next to a dirty fork on the floor, a broom on the table, a shard of glass on the floor, a plant on the table, a spatula on the table. Casey says to Skyler, 'pick it up'.",Casey and Skyler,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, dirty).
property(obj1, fork).
location(obj1, floor).
object(obj2).
property(obj2, broom).
location(obj2, table).
object(obj3).
property(obj3, shard_of_glass).
location(obj3, floor).
object(obj4).
property(obj4, plant).
location(obj4, table).
object(obj5).
property(obj5, spatulon).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object3,shard of glass
"Cameron and Charlie are in the kitchen. Cameron is tidying. Charlie is next to a spatula on the table, a dirty bowl on the floor, a broom on the table, a knife on the floor, a rug on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,kitchen,"setting(kitchen).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, spatulon).
location(obj1, table).
object(obj2).
property(obj2, dirty).
property(obj2, bowl).
location(obj2, floor).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, knife).
location(obj4, floor).
object(obj5).
property(obj5, rug).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object4,knife
"Alex and Bailey are in the garden. Alex is tidying. Bailey is next to a boot on the floor, a lamp on the table, a broom on the table, a dirty rag on the floor, a wet rag on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,garden,"setting(garden).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, boot).
location(obj1, floor).
object(obj2).
property(obj2, lamp).
location(obj2, table).
object(obj3).
property(obj3, broom).
location(obj3, table).
object(obj4).
property(obj4, dirty).
property(obj4, rag).
location(obj4, floor).
object(obj5).
property(obj5, wet_rag).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,wet rag
"Jordan and Taylor are in the living room. Jordan is tidying. Taylor is next to a dirty fork on the floor, a wet rag on the floor, a book on the table, a lamp on the table, a boot on the floor. Jordan says to Taylor, 'pick it up'.",Jordan and Taylor,living room,"setting(living_room).
task(tidying).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dirty).
property(obj1, fork).
location(obj1, floor).
object(obj2).
property(obj2, wet_rag).
location(obj2, floor).
object(obj3).
property(obj3, book).
location(obj3, table).
object(obj4).
property(obj4, lamp).
location(obj4, table).
object(obj5).
property(obj5, boot).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object2,wet rag
"Alex and Bailey are in the garden. Alex is tidying. Bailey is next to a boot on the floor, a split mug on the floor, a notebook on the table, a plant on the table, a dirty fork on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,garden,"setting(garden).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, boot).
location(obj1, floor).
object(obj2).
property(obj2, split).
property(obj2, mug).
location(obj2, floor).
object(obj3).
property(obj3, notebook).
location(obj3, table).
object(obj4).
property(obj4, plant).
location(obj4, table).
object(obj5).
property(obj5, dirty).
property(obj5, fork).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object2,broken mug
"Casey and Skyler are in the garden. Casey is tidying. Skyler is next to a shoe on the floor, a notebook on the table, a laptop on the floor, a lamp on the table, a dirty fork on the floor. Casey says to Skyler, 'pick it up'.",Casey and Skyler,garden,"setting(garden).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, shoe).
location(obj1, floor).
object(obj2).
property(obj2, notebook).
location(obj2, table).
object(obj3).
property(obj3, laptop).
location(obj3, floor).
object(obj4).
property(obj4, lamp).
location(obj4, table).
object(obj5).
property(obj5, dirty).
property(obj5, fork).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object3,laptop
"Casey and Skyler are in the banquet hall. Casey is tidying. Skyler is next to a laptop on the floor, a shoe on the floor, a dirty rag on the floor, a plant on the table, a book on the table. Casey says to Skyler, 'pick it up'.",Casey and Skyler,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, laptop).
location(obj1, floor).
object(obj2).
property(obj2, shoe).
location(obj2, floor).
object(obj3).
property(obj3, dirty).
property(obj3, rag).
location(obj3, floor).
object(obj4).
property(obj4, plant).
location(obj4, table).
object(obj5).
property(obj5, book).
location(obj5, table).
referring_expression(pick_it_up).",pick it up,object1,laptop
"Cameron and Charlie are in the restaurant. Cameron is tidying. Charlie is next to a lamp on the table, a knife on the floor, a spatula on the table, a notebook on the table, a dirty bowl on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,restaurant,"setting(restaurant).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, lamp).
location(obj1, table).
object(obj2).
property(obj2, knife).
location(obj2, floor).
object(obj3).
property(obj3, spatulon).
location(obj3, table).
object(obj4).
property(obj4, notebook).
location(obj4, table).
object(obj5).
property(obj5, dirty).
property(obj5, bowl).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object2,knife
"Alex and Bailey are in the dining room. Alex is tidying. Bailey is next to a book on the table, a dirty fork on the floor, a plant on the table, a pen on the table, a knife on the floor. Alex says to Bailey, 'pick it up'.",Alex and Bailey,dining room,"setting(dining_room).
task(tidying).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, book).
location(obj1, table).
object(obj2).
property(obj2, dirty).
property(obj2, fork).
location(obj2, floor).
object(obj3).
property(obj3, plant).
location(obj3, table).
object(obj4).
property(obj4, pen).
location(obj4, table).
object(obj5).
property(obj5, knife).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,knife
"Cameron and Charlie are in the banquet hall. Cameron is tidying. Charlie is next to a book on the table, a notebook on the table, a dirty plate on the floor, a broom on the table, a wet rag on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,banquet hall,"setting(banquet_hall).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, book).
location(obj1, table).
object(obj2).
property(obj2, notebook).
location(obj2, table).
object(obj3).
property(obj3, dirty).
property(obj3, plate).
location(obj3, floor).
object(obj4).
property(obj4, broom).
location(obj4, table).
object(obj5).
property(obj5, wet_rag).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object5,wet rag
"Morgan and Riley are in the living room. Morgan is tidying. Riley is next to a plant on the table, a split mug on the floor, a notebook on the table, a broom on the table, a dirty rag on the floor. Morgan says to Riley, 'pick it up'.",Morgan and Riley,living room,"setting(living_room).
task(tidying).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, plant).
location(obj1, table).
object(obj2).
property(obj2, split).
property(obj2, mug).
location(obj2, floor).
object(obj3).
property(obj3, notebook).
location(obj3, table).
object(obj4).
property(obj4, broom).
location(obj4, table).
object(obj5).
property(obj5, dirty).
property(obj5, rag).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object2,broken mug
"Cameron and Charlie are in the garden. Cameron is tidying. Charlie is next to a knife on the floor, a dirty fork on the floor, a pen on the table, a rug on the floor, a shoe on the floor. Cameron says to Charlie, 'pick it up'.",Cameron and Charlie,garden,"setting(garden).
task(tidying).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, knife).
location(obj1, floor).
object(obj2).
property(obj2, dirty).
property(obj2, fork).
location(obj2, floor).
object(obj3).
property(obj3, pen).
location(obj3, table).
object(obj4).
property(obj4, rug).
location(obj4, floor).
object(obj5).
property(obj5, shoe).
location(obj5, floor).
referring_expression(pick_it_up).",pick it up,object1,knife
